サービスタグ,カテゴリー,カテゴリー_en,質問,質問_en,回答,回答_en,is_popular
ALL,クレジットカード,Credit Card,途中から別のクレジットカードにしたい場合はどうすればいいですか？,途中から別のクレジットカードにしたい場合はどうすればいいですか？,再度こちらからクレジット情報を入力して頂くURLをメールでお送り致します。⇒info@sunrise-net.co.jpまでクレジットURL希望・名前をご記入の上メールをお願いします,再度こちらからクレジット情報を入力して頂くURLをメールでお送り致します。⇒info@sunrise-net.co.jpまでクレジットURL希望・名前をご記入の上メールをお願いします,
ALL,クレジットカード,Credit Card,毎月のクレジットカード決済はいつ頃になりますか？,毎月のクレジットカード決済はいつ頃になりますか？,毎月10日前後です。但し決済システムによる都合や年末年始、GWなど長期休暇及び長期祝日の際は変更する場合がございますのでご了承ください。,毎月10日前後です。但し決済システムによる都合や年末年始、GWなど長期休暇及び長期祝日の際は変更する場合がございますのでご了承ください。,
ALL,口座振替,Bank Transfer,引落ができなかったと通知と振込請求案内のメールが届きました。次回引落時に引落してもらえませんか？,引落ができなかったと通知と振込請求案内のメールが届きました。次回引落時に引落してもらえませんか？,再引き落とし（再振替）は受付しておりません。支払い期日までにお振込みいただくようおねがいします。,再引き落とし（再振替）は受付しておりません。支払い期日までにお振込みいただくようおねがいします。,
ALL,口座振替,Bank Transfer,毎月の銀行引落しはいつですか？,毎月の銀行引落しはいつですか？,毎月28日です。28日が土・日や祝日の際は翌金融機関営業日が引落日となります。前営業日までに引落金額以上の口座残高となるようご留意ください。,毎月28日です。28日が土・日や祝日の際は翌金融機関営業日が引落日となります。前営業日までに引落金額以上の口座残高となるようご留意ください。,
ALL,料金支払,Payment,料金支払は親に任せたいのですが、どのようにすればよいのでしょうか？,料金支払は親に任せたいのですが、どのようにすればよいのでしょうか？,お申込時に実家請求希望欄にチェックをお願い致します。,お申込時に実家請求希望欄にチェックをお願い致します。,
ALL,料金支払,Payment,コンビニエンスストアで支払う事はできますか？,コンビニエンスストアで支払う事はできますか？,コンビニエンスストアでのお支払いには対応しておりません。コンビニエンスストア設置のATMからのお支払い操作をおねがいします。,コンビニエンスストアでのお支払いには対応しておりません。コンビニエンスストア設置のATMからのお支払い操作をおねがいします。,
ALL,変更手続き,Change Procedures,契約者以外の銀行口座を引落口座として登録することはできますか？,契約者以外の銀行口座を引落口座として登録することはできますか？,はい。親権者又は代理人の口座であれば可能でございます。口座振替依頼書下部に契約者情報を記入の上お手続きください。,はい。親権者又は代理人の口座であれば可能でございます。口座振替依頼書下部に契約者情報を記入の上お手続きください。,
ALL,料金支払,Payment,契約者以外のクレジットカードでの支払いは可能ですか？,契約者以外のクレジットカードでの支払いは可能ですか？,はい。親権者又は代理人のクレジットカードであれば可能でございます。,はい。親権者又は代理人のクレジットカードであれば可能でございます。,
ALL,,,引落口座について日本国外の銀行を指定することはできますか？,引落口座について日本国外の銀行を指定することはできますか？,いいえ。指定することができません。日本国内の金融機関の口座をご指定ください。,いいえ。指定することができません。日本国内の金融機関の口座をご指定ください。,
ALL,,,利用できるクレジットカードについて教えてください。,利用できるクレジットカードについて教えてください。,Visa、Mastercard、JCB、American Express、Diners Clubの国際ブランドに対応しています。,Visa、Mastercard、JCB、American Express、Diners Clubの国際ブランドに対応しています。,
ALL,,,デビット機能付きクレジットカードは利用できますか？,デビット機能付きクレジットカードは利用できますか？,カード発行会社や諸条件によりお使いいただけない場合がございます。詳しくはお客様のカード発行会社までお尋ねください。,カード発行会社や諸条件によりお使いいただけない場合がございます。詳しくはお客様のカード発行会社までお尋ねください。,
ALL,払込票払い,Payment Slip,払込取扱票での支払い方法を教えてください。,払込取扱票での支払い方法を教えてください。,"＜ゆうちょ銀行ATMでの方法＞

---払込取扱票での送金の場合---
1.「ご送金」を選択します。
2.「払込書でのご送金」を選択します。
3.「払込書」を入れます。払込書に住所氏名、会員IDをご記入の上、払込書を入れてください。

---ゆうちょ口座間での送金の場合---
1.「ゆうちょ口座へのご送金」を選択します。
2.「通帳、またはカード」を入れます。
3.「記号番号」を選択します。
4. 記号に「00150-3」を入力します。
5. 番号に「611077」を入力します。
6. 金額を入力してください。
7. 最後に確認を押せば手続きは完了します。","＜ゆうちょ銀行ATMでの方法＞

---払込取扱票での送金の場合---
1.「ご送金」を選択します。
2.「払込書でのご送金」を選択します。
3.「払込書」を入れます。払込書に住所氏名、会員IDをご記入の上、払込書を入れてください。

---ゆうちょ口座間での送金の場合---
1.「ゆうちょ口座へのご送金」を選択します。
2.「通帳、またはカード」を入れます。
3.「記号番号」を選択します。
4. 記号に「00150-3」を入力します。
5. 番号に「611077」を入力します。
6. 金額を入力してください。
7. 最後に確認を押せば手続きは完了します。",
ALL,口座振替,Bank Transfer,口座開設時に印鑑を必要としないネット銀行を登録する場合、口座振替依頼書の捺印はどうしたらいいですか？,口座開設時に印鑑を必要としないネット銀行を登録する場合、口座振替依頼書の捺印はどうしたらいいですか？,口座開設時にサインを必要としたネット銀行の場合は捺印欄にサインをおねがいします。捺印・サインなしで口座開設された場合は不要です。詳しくはネット銀行側にお問合せください。,口座開設時にサインを必要としたネット銀行の場合は捺印欄にサインをおねがいします。捺印・サインなしで口座開設された場合は不要です。詳しくはネット銀行側にお問合せください。,
ALL,口座振替,Bank Transfer,口座振替依頼書の手続きをしても内容に不備があり再提出の通知が届きます。どのようにすればよいのでしょうか？,口座振替依頼書の手続きをしても内容に不備があり再提出の通知が届きます。どのようにすればよいのでしょうか？,"再提出のご案内書類にて不備理由が明記されています。よくある不備内容は以下の項目です。

・お届け印のもれ、相違、不鮮明
・他人名義口座記入
・預金者名の字体相違、フリガナもれ
・金融機関名・支店名・口座番号の相違
・口座番号不明瞭
・インターネットバンキング手続きの登録未完了

※記入内容を間違えた場合は、二重線で訂正を入れお届け印を押してください。
※ご印鑑は鮮明に確認がとれる状態に押印ください。不鮮明（にじみ、かすみ等）であれば枠外に追加で押印ください。","再提出のご案内書類にて不備理由が明記されています。よくある不備内容は以下の項目です。

・お届け印のもれ、相違、不鮮明
・他人名義口座記入
・預金者名の字体相違、フリガナもれ
・金融機関名・支店名・口座番号の相違
・口座番号不明瞭
・インターネットバンキング手続きの登録未完了

※記入内容を間違えた場合は、二重線で訂正を入れお届け印を押してください。
※ご印鑑は鮮明に確認がとれる状態に押印ください。不鮮明（にじみ、かすみ等）であれば枠外に追加で押印ください。",
ALL,口座振替,Bank Transfer,口座振替依頼書を紛失してしまいました。どうすればいいでしょうか？,口座振替依頼書を紛失してしまいました。どうすればいいでしょうか？,"Sun-NetHP内の『お申込・各種お手続き』ページ内の『【会員様向け】口座振替依頼書ダウンロード』をご利用ください。
http://www.sunrise-net.ne.jp/contact_list.html
印刷し、必要事項に記入・捺印の上、お客様保管用の複写を取った上で弊社までご郵送ください。
郵送での発送をご希望の場合は書類再送費用として220円をご請求いたします。郵送希望のお客様は下記メールアドレス宛に、お問合せください。
info@sunrise-net.co.jp　","Sun-NetHP内の『お申込・各種お手続き』ページ内の『【会員様向け】口座振替依頼書ダウンロード』をご利用ください。
http://www.sunrise-net.ne.jp/contact_list.html
印刷し、必要事項に記入・捺印の上、お客様保管用の複写を取った上で弊社までご郵送ください。
郵送での発送をご希望の場合は書類再送費用として220円をご請求いたします。郵送希望のお客様は下記メールアドレス宛に、お問合せください。
info@sunrise-net.co.jp　",
各種申請手続き,,,携帯番号やメールアドレスが変更になった場合はどうすればよいですか？,携帯番号やメールアドレスが変更になった場合はどうすればよいですか？,各種お手続きページ内の『変更申請（お客様情報/契約プラン）』よりお手続きをお願いします。https://sunrise-net-s.cms2.jp/contact_list/alteration.html,各種お手続きページ内の『変更申請（お客様情報/契約プラン）』よりお手続きをお願いします。https://sunrise-net-s.cms2.jp/contact_list/alteration.html,
ALL,変更手続き,Change Procedures,途中で部屋が変わるかもしれませんが、どうすればよいのでしょうか？,途中で部屋が変わるかもしれませんが、どうすればよいのでしょうか？,"下記『お部屋番号変更フォーム』よりお手続きをお願いします。
https://sunrise-net-s.cms2.jp/changeroom.html","下記『お部屋番号変更フォーム』よりお手続きをお願いします。
https://sunrise-net-s.cms2.jp/changeroom.html",
ALL,,,会員IDを忘れてしまいました。,会員IDを忘れてしまいました。,弊社カスタマーサポートまでお問合せください。,弊社カスタマーサポートまでお問合せください。,
寮内ネット,トラブルシューティング,Troubleshooting,スマホのWiFiがつかえません。,スマホのWiFiがつかえません。,"【iPhoneの場合】
”プライベートアドレス設定”を「オフ」してください。
※プライベートアドレス設定が
不明な場合は下記サイトを参考にしてください。
https://support.apple.com/ja-jp/guide/iphone/iph6b324bb33/ios

【android端末の場合】
※android10に関してですが、初期設定でMACアドレスが1つのアドレスに固定されていない設定になっております。
インターネットに接続するためには、固定MACアドレスに設定していただく必要がございますので、
以下の手順で設定をお願いいたします。

1）「設定」をタップ
2）「ネットワークとインターネット」をタップ
3）「WI-FI」をタップ
4）現在使用しているWIFIをタップ
5）「詳細設定」をタップ
6）「プライバシー」をタップ
7）”ランダムなMACを使用する”から、”デバイスのMACを使用する”に変更
8）「保存」をタップ","【iPhoneの場合】
”プライベートアドレス設定”を「オフ」してください。
※プライベートアドレス設定が
不明な場合は下記サイトを参考にしてください。
https://support.apple.com/ja-jp/guide/iphone/iph6b324bb33/ios

【android端末の場合】
※android10に関してですが、初期設定でMACアドレスが1つのアドレスに固定されていない設定になっております。
インターネットに接続するためには、固定MACアドレスに設定していただく必要がございますので、
以下の手順で設定をお願いいたします。

1）「設定」をタップ
2）「ネットワークとインターネット」をタップ
3）「WI-FI」をタップ
4）現在使用しているWIFIをタップ
5）「詳細設定」をタップ
6）「プライバシー」をタップ
7）”ランダムなMACを使用する”から、”デバイスのMACを使用する”に変更
8）「保存」をタップ",
寮内ネット,,,WindowsのパソコンのWiFiが使えません。,WindowsのパソコンのWiFiが使えません。,"弊社のインターネットに接続するためには、固定MACアドレスに設定していただく必要がございます。 
以下の手順で設定をお願いいたします。

1）「設定」　をクリック
2）「ネットワークとインターネット」　をクリック
3）「WI-FI」　をクリック
4）「ランダムなハードウェアアドレスを使う」をスイッチをクリックし、オフにします。","弊社のインターネットに接続するためには、固定MACアドレスに設定していただく必要がございます。 
以下の手順で設定をお願いいたします。

1）「設定」　をクリック
2）「ネットワークとインターネット」　をクリック
3）「WI-FI」　をクリック
4）「ランダムなハードウェアアドレスを使う」をスイッチをクリックし、オフにします。",
寮内ネット,無線ルーター|LANケーブル|MACアドレス|契約期間|寮内ネット,Router|Cable|MAC|Contract|Dorm Net,インターネットがつながらない場合、まず最初に確認すべきことは何ですか？,インターネットがつながらない場合、まず最初に確認すべきことは何ですか？,"1)契約期間内ですか？ご契約期間終了後はインターネットの利用ができません。
2)端末のMACアドレスの申請はお済ですか？申請がない場合インターネットのご利用はできません。
3)無線ルーターは正しく設置されていますか？LANケーブルがしっかり刺さっているかどうか確認しましょう。","1)契約期間内ですか？ご契約期間終了後はインターネットの利用ができません。
2)端末のMACアドレスの申請はお済ですか？申請がない場合インターネットのご利用はできません。
3)無線ルーターは正しく設置されていますか？LANケーブルがしっかり刺さっているかどうか確認しましょう。",
トラブルシューティング/SIMカード,,,APN設定ができない場合はどうすればいいでしょうか？,APN設定ができない場合はどうすればいいでしょうか？,"ご入力時の不要なスペースや大文字・小文字の入力違いはございませんか？今一度ご確認をおねがいします。
http://www.sunrise-net.ne.jp/service/simapnsettings.html
解決しない場合は弊社カスタマーデスクまでお問合せください。","ご入力時の不要なスペースや大文字・小文字の入力違いはございませんか？今一度ご確認をおねがいします。
http://www.sunrise-net.ne.jp/service/simapnsettings.html
解決しない場合は弊社カスタマーデスクまでお問合せください。",
,,,SIMカードを破損してしまった。どうすればいいでしょうか？,SIMカードを破損してしまった。どうすればいいでしょうか？,再発行になりますので、新たに発行費用と送料が必要です。,再発行になりますので、新たに発行費用と送料が必要です。,
寮内ネット,MACアドレス|寮内ネット|iphone|ipad,MAC|Dorm Net|iPhone|iPad,【ios】iphone/ipad,【ios】iphone/ipad,"1. ホーム画面で「設定」アプリを開きます。
2. 「一般」をタップします。
3. 「情報」を選択します。
4. 「Wi-Fiアドレス」の横に表示されている値が、iPhoneの物理アドレス（MACアドレス）です。","1. ホーム画面で「設定」アプリを開きます。
2. 「一般」をタップします。
3. 「情報」を選択します。
4. 「Wi-Fiアドレス」の横に表示されている値が、iPhoneの物理アドレス（MACアドレス）です。",
寮内ネット,MACアドレス|寮内ネット|Android,MAC|Dorm Net|Android,Android OS,Android OS,"※AndroidはOSのバージョンやメーカーよって表示手順が異なります。詳しくはインターネット検索にてお調べください
1.端末のWiFiを「有効」にします。
2. ホーム画面で「設定」アプリを開きます。
3. 「端末情報」を選択します。
4. 「端末の状態」をタップします。
5. 「WiFi-MACアドレス」が、Androidデバイスの物理アドレス（MACアドレス）です。","※AndroidはOSのバージョンやメーカーよって表示手順が異なります。詳しくはインターネット検索にてお調べください
1.端末のWiFiを「有効」にします。
2. ホーム画面で「設定」アプリを開きます。
3. 「端末情報」を選択します。
4. 「端末の状態」をタップします。
5. 「WiFi-MACアドレス」が、Androidデバイスの物理アドレス（MACアドレス）です。",
,,,無題のコンテンツ,無題のコンテンツ,,,
,,,1年間は寮にいる予定がありますが2年目に寮に住むか未定です。再契約になりますか？,1年間は寮にいる予定がありますが2年目に寮に住むか未定です。再契約になりますか？,,,
,,,夏までの契約にしたいのですが可能ですか？,夏までの契約にしたいのですが可能ですか？,,,
,,,引越し先の物件でインターネットは必要なら自分で契約するように言われました。利用できますか？,引越し先の物件でインターネットは必要なら自分で契約するように言われました。利用できますか？,,,
,,,長期留学中サービスを停止することはできますか？,長期留学中サービスを停止することはできますか？,,,
,,,解約したドコモのiPhoneは使えますか？,解約したドコモのiPhoneは使えますか？,,,
SM,SIMサービス,SIM Service,SIMカードを紛失しました。どうすればいいですか？,SIMカードを紛失しました。どうすればいいですか？,"弊社まで必ずお問合せください。利用停止の処理を行います。
併せて警察機関へ紛失・盗難の届け出をお願いします。
SIMカード（端末等）を拾った第三者からの不正利用を防止する為お客さまご自身で端末ロックをお願いします。
なお、利用停止後にSIMカードを再発行します。停止中の月額料金についても請求対象です。※カードの再発行費用及び送料を別途請求します。","弊社まで必ずお問合せください。利用停止の処理を行います。
併せて警察機関へ紛失・盗難の届け出をお願いします。
SIMカード（端末等）を拾った第三者からの不正利用を防止する為お客さまご自身で端末ロックをお願いします。
なお、利用停止後にSIMカードを再発行します。停止中の月額料金についても請求対象です。※カードの再発行費用及び送料を別途請求します。",
ALL,料金支払,Payment,利用料金の振込先を教えてください。,利用料金の振込先を教えてください。,"以下、いずれかの金融機関宛てにお願いします。
※お振込み時にご自身の会員ID番号をご入力ください。

1.ゆうちょ銀行（Japan Post Bank）
　口座記号番号　00150-3-611077
　加入者名	株式会社サンライズ

2.三菱UFJ銀行/0005（Mitsubishi UFJ bank）
　浅草橋支店/069（Asakusabashi Branch）
　普通預金
　口座番号　0912502
　口座名義　株式会社サンライズ

3.りそな銀行/0010（Resona bank）
　秋葉原支店/275（Akihabara Branch）
　普通預金
　口座番号　2069388
　口座名義　株式会社サンライズ","以下、いずれかの金融機関宛てにお願いします。
※お振込み時にご自身の会員ID番号をご入力ください。

1.ゆうちょ銀行（Japan Post Bank）
　口座記号番号　00150-3-611077
　加入者名	株式会社サンライズ

2.三菱UFJ銀行/0005（Mitsubishi UFJ bank）
　浅草橋支店/069（Asakusabashi Branch）
　普通預金
　口座番号　0912502
　口座名義　株式会社サンライズ

3.りそな銀行/0010（Resona bank）
　秋葉原支店/275（Akihabara Branch）
　普通預金
　口座番号　2069388
　口座名義　株式会社サンライズ",
,,,支払期日が過ぎた後はどうすればよいですか？,支払期日が過ぎた後はどうすればよいですか？,,,
ALL,変更手続き,Change Procedures,携帯番号やメールアドレスが変更になった場合はどうすればよいですか？,携帯番号やメールアドレスが変更になった場合はどうすればよいですか？,各種お手続きページ内の『変更申請（お客様情報/契約プラン）』よりお手続きをお願いします。https://sunrise-net-s.cms2.jp/contact_list/alteration.html,各種お手続きページ内の『変更申請（お客様情報/契約プラン）』よりお手続きをお願いします。https://sunrise-net-s.cms2.jp/contact_list/alteration.html,
,,,途中で部屋が変わるかもしれませんが、どうすればよいでしょうか？,途中で部屋が変わるかもしれませんが、どうすればよいでしょうか？,,,
,,,スマホのWiFiが使えません。,スマホのWiFiが使えません。,,,
,,,パソコンのWiFiが使えません。,パソコンのWiFiが使えません。,,,
SIM,SIM設定,SIM Settings,APN設定ができない場合はどうすればいいでしょうか？,APN設定ができない場合はどうすればいいでしょうか？,"ご入力時の不要なスペースや大文字・小文字の入力違いはございませんか？今一度ご確認をおねがいします。
http://www.sunrise-net.ne.jp/service/simapnsettings.html
解決しない場合は弊社カスタマーデスクまでお問合せください。","ご入力時の不要なスペースや大文字・小文字の入力違いはございませんか？今一度ご確認をおねがいします。
http://www.sunrise-net.ne.jp/service/simapnsettings.html
解決しない場合は弊社カスタマーデスクまでお問合せください。",
SIM,SIMサービス,SIM Service,SIMカードを破損してしまった。どうすればいいでしょうか？,SIMカードを破損してしまった。どうすればいいでしょうか？,再発行になりますので、新たに発行費用と送料が必要です。,再発行になりますので、新たに発行費用と送料が必要です。,
,,,iPhone/iPadのMACアドレスはどこで確認できますか？,iPhone/iPadのMACアドレスはどこで確認できますか？,,,
,,,Android OSのMACアドレスはどこで確認できますか？,Android OSのMACアドレスはどこで確認できますか？,,,
SIM,,,eSIMと物理SIMの違いは何ですか？,eSIMと物理SIMの違いは何ですか？,物理SIMは、スマートフォンに直接挿入して使用するプラスチック製のICカードです。一方、eSIMは、スマートフォン本体に予め埋め込まれたSIMで、オンラインで契約情報を書き換えることで利用を開始できます。SIMカードの到着を待つ必要がないのが大きな特長です。,物理SIMは、スマートフォンに直接挿入して使用するプラスチック製のICカードです。一方、eSIMは、スマートフォン本体に予め埋め込まれたSIMで、オンラインで契約情報を書き換えることで利用を開始できます。SIMカードの到着を待つ必要がないのが大きな特長です。,
SIM,,,どちらのSIMを選べばよいですか？,どちらのSIMを選べばよいですか？,すぐに利用を開始したい方、SIMカードの抜き差しをしたくない方、デュアルSIM（1台のスマホで2つの回線を使う）を利用したい方にはeSIMがおすすめです。SIMカードを入れ替えて複数の端末で利用したい方や、お使いの端末がeSIMに対応していない場合は、物理SIMをお選びください。,すぐに利用を開始したい方、SIMカードの抜き差しをしたくない方、デュアルSIM（1台のスマホで2つの回線を使う）を利用したい方にはeSIMがおすすめです。SIMカードを入れ替えて複数の端末で利用したい方や、お使いの端末がeSIMに対応していない場合は、物理SIMをお選びください。,
SIM,,,利用料金やプランに違いはありますか？,利用料金やプランに違いはありますか？,いいえ、eSIMと物理SIMでご利用いただける料金プランや、通信速度・品質に違いはございません。お客様のご利用スタイルに合わせてお選びいただけます。,いいえ、eSIMと物理SIMでご利用いただける料金プランや、通信速度・品質に違いはございません。お客様のご利用スタイルに合わせてお選びいただけます。,
SIM,,,自分のスマートフォンがeSIMに対応しているか確認する方法は？,自分のスマートフォンがeSIMに対応しているか確認する方法は？,iPhoneの場合は、「設定」>「モバイル通信」と進み、「eSIMを追加」という項目があれば対応しています。Androidの場合は、「設定」>「ネットワークとインターネット」>「SIM」と進み、「SIMをダウンロードしますか？」といった選択肢があれば対応しています。詳細は各メーカーの公式サイトでもご確認いただけます。,iPhoneの場合は、「設定」>「モバイル通信」と進み、「eSIMを追加」という項目があれば対応しています。Androidの場合は、「設定」>「ネットワークとインターネット」>「SIM」と進み、「SIMをダウンロードしますか？」といった選択肢があれば対応しています。詳細は各メーカーの公式サイトでもご確認いただけます。,
SIM,,,SIMロックされている端末でも利用できますか？,SIMロックされている端末でも利用できますか？,いいえ、SIMロックされている端末ではご利用いただけません。事前にご利用の携帯電話会社でSIMロックの解除手続きを行ってください。,いいえ、SIMロックされている端末ではご利用いただけません。事前にご利用の携帯電話会社でSIMロックの解除手続きを行ってください。,
SIM,,,eSIMの申し込みから開通までの流れを教えてください。,eSIMの申し込みから開通までの流れを教えてください。,①当社ウェブサイトからお申し込み ②本人確認書類のアップロード ③審査完了後、メールでeSIMプロファイルダウンロード用のQRコードを受領 ④スマートフォンでQRコードを読み取り、設定完了。最短でお申し込み当日からご利用いただけます。,①当社ウェブサイトからお申し込み ②本人確認書類のアップロード ③審査完了後、メールでeSIMプロファイルダウンロード用のQRコードを受領 ④スマートフォンでQRコードを読み取り、設定完了。最短でお申し込み当日からご利用いただけます。,
SIM,,,物理SIMは申し込みから何日で届きますか？,物理SIMは申し込みから何日で届きますか？,本人確認完了後、通常2〜3営業日で発送いたします。お届け先地域や交通事情により、到着までにかかる日数は異なります。SIMカードが届きましたら、スマートフォンに挿入して開通設定を行ってください。,本人確認完了後、通常2〜3営業日で発送いたします。お届け先地域や交通事情により、到着までにかかる日数は異なります。SIMカードが届きましたら、スマートフォンに挿入して開通設定を行ってください。,
SIM,,,機種変更する際はどうすればよいですか？,機種変更する際はどうすればよいですか？,新しいスマートフォンでeSIMを再発行する必要があります。会員ページよりeSIMの再発行手続きを行ってください。手続き完了後、新しい端末でeSIMプロファイルを再度ダウンロードして設定します。古い端末のeSIMプロファイルは削除してください。,新しいスマートフォンでeSIMを再発行する必要があります。会員ページよりeSIMの再発行手続きを行ってください。手続き完了後、新しい端末でeSIMプロファイルを再度ダウンロードして設定します。古い端末のeSIMプロファイルは削除してください。,
SIM,,,誤ってeSIMプロファイルを削除してしまいました。,誤ってeSIMプロファイルを削除してしまいました。,会員ページよりeSIMの再発行手続きが必要です。再発行には手数料がかかる場合がございますので、ご注意ください。,会員ページよりeSIMの再発行手続きが必要です。再発行には手数料がかかる場合がございますので、ご注意ください。,
SIM,,,デュアルSIMとは何ですか？,デュアルSIMとは何ですか？,1台のスマートフォンで、2つの異なる電話番号や料金プランを使い分けることができる機能です。例えば、「物理SIMを通話用、eSIMをデータ通信用」といった組み合わせや、「国内用SIMと海外用SIM」の併用が可能です。,1台のスマートフォンで、2つの異なる電話番号や料金プランを使い分けることができる機能です。例えば、「物理SIMを通話用、eSIMをデータ通信用」といった組み合わせや、「国内用SIMと海外用SIM」の併用が可能です。,
SIM,,,音声通話とデータ通信を別々のSIMに設定できますか？,音声通話とデータ通信を別々のSIMに設定できますか？,はい、可能です。スマートフォンの設定画面で、主回線（音声通話）とデータ通信にどちらのSIMを利用するかを個別に設定することができます。,はい、可能です。スマートフォンの設定画面で、主回線（音声通話）とデータ通信にどちらのSIMを利用するかを個別に設定することができます。,
SIM,,,物理SIMからeSIMに変更できますか？,物理SIMからeSIMに変更できますか？,はい、可能です。会員ページからeSIMへの変更手続きをお申し込みください。SIMカードの返却は不要です。手続き完了後、eSIMプロファイルをダウンロードしてご利用を開始できます。,はい、可能です。会員ページからeSIMへの変更手続きをお申し込みください。SIMカードの返却は不要です。手続き完了後、eSIMプロファイルをダウンロードしてご利用を開始できます。,
SIM,,,eSIMから物理SIMに変更できますか？,eSIMから物理SIMに変更できますか？,はい、可能です。会員ページから物理SIMへの変更手続きをお申し込みください。後日、ご登録の住所へSIMカードを発送いたします。,はい、可能です。会員ページから物理SIMへの変更手続きをお申し込みください。後日、ご登録の住所へSIMカードを発送いたします。,
SIM,,,eSIMのQRコードが読み取れません。,eSIMのQRコードが読み取れません。,QRコードが表示されている画面が暗すぎないか、カメラのレンズが汚れていないかをご確認ください。それでも読み取れない場合は、手動でアクティベーションコードを入力する方法もございます。詳細は設定案内のメールをご確認ください。,QRコードが表示されている画面が暗すぎないか、カメラのレンズが汚れていないかをご確認ください。それでも読み取れない場合は、手動でアクティベーションコードを入力する方法もございます。詳細は設定案内のメールをご確認ください。,
SIM,,,eSIMを設定した後、通信ができません。,eSIMを設定した後、通信ができません。,スマートフォンの再起動をお試しください。また、機内モードがオフになっていること、モバイルデータ通信がオンになっていることをご確認ください。それでも改善しない場合は、APN設定（アクセスポイント名）が正しく構成されているかをご確認ください。,スマートフォンの再起動をお試しください。また、機内モードがオフになっていること、モバイルデータ通信がオンになっていることをご確認ください。それでも改善しない場合は、APN設定（アクセスポイント名）が正しく構成されているかをご確認ください。,
SIM,,,海外でも利用できますか？,海外でも利用できますか？,はい、当社の国際ローミングサービスをご利用いただくことで、海外でもデータ通信や音声通話が可能です。渡航前に会員ページから国際ローミングの利用設定をご確認ください。ご利用料金は国・地域によって異なります。,はい、当社の国際ローミングサービスをご利用いただくことで、海外でもデータ通信や音声通話が可能です。渡航前に会員ページから国際ローミングの利用設定をご確認ください。ご利用料金は国・地域によって異なります。,
SIM,,,スマートフォンを紛失した場合、どうすればよいですか？,スマートフォンを紛失した場合、どうすればよいですか？,速やかに当社のカスタマーサポートまでご連絡いただき、回線の利用停止手続きを行ってください。eSIMの場合、第三者が端末のロックを解除できない限り、不正利用されるリスクは低いですが、念のためご連絡をお願いします。,速やかに当社のカスタマーサポートまでご連絡いただき、回線の利用停止手続きを行ってください。eSIMの場合、第三者が端末のロックを解除できない限り、不正利用されるリスクは低いですが、念のためご連絡をお願いします。,
SIM,,,you will need to get a new activation code. An eSIM can only be active on one device at a time,you will need to get a new activation code. An eSIM can only be active on one device at a time,so reissuing the code is necessary to activate it on your new phone.,so reissuing the code is necessary to activate it on your new phone.,
SIM,,,you can use our eSIM service by signing up for a new eSIM plan. Please note that this will incur a separate eSIM issuance fee of 3,you can use our eSIM service by signing up for a new eSIM plan. Please note that this will incur a separate eSIM issuance fee of 3,300 yen,300 yen,
SIM,,,after making a payment with your credit card,after making a payment with your credit card,activate the code on your device. A new phone number will be issued.,activate the code on your device. A new phone number will be issued.,
,,,"メッセージありがとうございます！☀

申し訳ありませんが、入力された文章に対応することが出来ませんでした。
トラブルシューティング中であれば『』内の文章を正しく入力し直して頂きますようお願い致します。

また、このアカウントでは個別のお問い合わせを受け付けておりません。
次の配信までお待ちください(content)","メッセージありがとうございます！☀

申し訳ありませんが、入力された文章に対応することが出来ませんでした。
トラブルシューティング中であれば『』内の文章を正しく入力し直して頂きますようお願い致します。

また、このアカウントでは個別のお問い合わせを受け付けておりません。
次の配信までお待ちください(content)",,,
,,,"メッセージありがとうございます！
「トラブルシューティング」ですね。
これからいくつかの質問にお答えしていただきます。
お客様の状況に合うものを入力し送信してください。
※『』内の文章を送信してください

①『インターネット未接続』
※インターネットに接続できない場合

②『インターネットの不具合』
※インターネットの速度が遅い、または途切れる場合



弊社までお問い合わせしたい場合は
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html","メッセージありがとうございます！
「トラブルシューティング」ですね。
これからいくつかの質問にお答えしていただきます。
お客様の状況に合うものを入力し送信してください。
※『』内の文章を送信してください

①『インターネット未接続』
※インターネットに接続できない場合

②『インターネットの不具合』
※インターネットの速度が遅い、または途切れる場合



弊社までお問い合わせしたい場合は
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html",,,
